Time	Event Type	Plate ID	Insp. ID	Plate Type	Light Path	Setting	Project	Experiment	User Name	Group	Duration
2018/12/01 06:02:13	Plate Move - Imager to Stage	8926		96 Well Greiner Hanging, 1 Drop	Plate Movement		D9	PACT E11-4C-m7GDP-26-Oct-18	jpeters	Gross	0 minute
2018/12/01 05:56:40	Plate Inspection (Scheduled)	8926	86117	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	D9	PACT E11-4C-m7GDP-26-Oct-18	jpeters	Gross	5.3 minutes
2018/12/01 05:56:03	Plate Move - Storage to Stage	8926		96 Well Greiner Hanging, 1 Drop	Plate Movement		D9	PACT E11-4C-m7GDP-26-Oct-18	jpeters	Gross	0 minute
2018/12/01 05:11:06	Plate Move - Imager to Stage	9023		96 Well Greiner Hanging, 1 Drop	Plate Movement		Lianne	I110D_flask_120g_2.7mL_2to1	lolicato	Minor	0 minute
2018/12/01 05:05:43	Plate Inspection (Scheduled)	9023	86113	96 Well Greiner Hanging, 1 Drop	Visible		Lianne	I110D_flask_120g_2.7mL_2to1	lolicato	Minor	5.1 minutes
2018/12/01 05:05:06	Plate Move - Storage to Stage	9023		96 Well Greiner Hanging, 1 Drop	Plate Movement		Lianne	I110D_flask_120g_2.7mL_2to1	lolicato	Minor	0 minute
2018/12/01 05:01:22	Plate Move - Imager to Stage	9022		96 Well Greiner Hanging, 1 Drop	Plate Movement		Lianne	I110D_ferm3.4mL_1to2	lolicato	Minor	0 minute
2018/12/01 04:51:11	Plate Inspection (Scheduled)	9022	86112	96 Well Greiner Hanging, 1 Drop	Visible		Lianne	I110D_ferm3.4mL_1to2	lolicato	Minor	9.9 minutes
2018/12/01 04:50:37	Plate Move - Imager to Stage	9021		96 Well Greiner Hanging, 1 Drop	Plate Movement		Lianne	I110D_ferm_3.4_2to1	lolicato	Minor	0 minute
2018/12/01 04:50:07	Plate Move - Storage to Stage	9022		96 Well Greiner Hanging, 1 Drop	Plate Movement		Lianne	I110D_ferm3.4mL_1to2	lolicato	Minor	0 minute
2018/12/01 04:45:41	Plate Inspection (Scheduled)	9021	86110	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Lianne	I110D_ferm_3.4_2to1	lolicato	Minor	4.7 minutes
2018/12/01 04:45:08	Plate Move - Imager to Stage	9020		96 Well Greiner Hanging, 1 Drop	Plate Movement		Lianne	I110D_ferm_2.7mL_1to2	lolicato	Minor	0 minute
2018/12/01 04:44:28	Plate Move - Storage to Stage	9021		96 Well Greiner Hanging, 1 Drop	Plate Movement		Lianne	I110D_ferm_3.4_2to1	lolicato	Minor	0 minute
2018/12/01 04:39:27	Plate Inspection (Scheduled)	9020	86109	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Lianne	I110D_ferm_2.7mL_1to2	lolicato	Minor	5.5 minutes
