Time	Event Type	Plate ID	Insp. ID	Plate Type	Light Path	Setting	Project	Experiment	User Name	Group	Duration
2018/12/01 04:38:53	Plate Move - Imager to Stage	9019		96 Well Greiner Hanging, 1 Drop	Plate Movement		Lianne	I110D_ferm_2.7mL_2to1	lolicato	Minor	0 minute
2018/12/01 04:38:19	Plate Move - Storage to Stage	9020		96 Well Greiner Hanging, 1 Drop	Plate Movement		Lianne	I110D_ferm_2.7mL_1to2	lolicato	Minor	0 minute
2018/12/01 04:33:18	Plate Inspection (Scheduled)	9019	86107	96 Well Greiner Hanging, 1 Drop	Visible		Lianne	I110D_ferm_2.7mL_2to1	lolicato	Minor	5.4 minutes
2018/12/01 04:32:42	Plate Move - Storage to Stage	9019		96 Well Greiner Hanging, 1 Drop	Plate Movement		Lianne	I110D_ferm_2.7mL_2to1	lolicato	Minor	0 minute
2018/11/30 09:23:31	Plate Move - Imager to Stage	9092		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-4-MPD Suite-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/30 09:17:49	Plate Inspection (Scheduled)	9092	86047	96 Well Greiner Hanging, 1 Drop	Visible		Fayal	p28-4-MPD Suite-22-Nov-18-4C-[12]	fayal	Minor	5.5 minutes
2018/11/30 09:17:16	Plate Move - Imager to Stage	9096		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-8-PEGs II-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/30 09:16:44	Plate Move - Storage to Stage	9092		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-4-MPD Suite-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/30 09:11:25	Plate Inspection (Scheduled)	9096	86045	96 Well Greiner Hanging, 1 Drop	Visible		Fayal	p28-8-PEGs II-22-Nov-18-4C-[12]	fayal	Minor	5.7 minutes
2018/11/30 09:10:52	Plate Move - Imager to Stage	9095		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-7-PEGs I-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/30 09:10:26	Plate Move - Storage to Stage	9096		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-8-PEGs II-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/30 09:05:19	Plate Inspection (Scheduled)	9095	86043	96 Well Greiner Hanging, 1 Drop	Visible		Fayal	p28-7-PEGs I-22-Nov-18-4C-[12]	fayal	Minor	5.4 minutes
2018/11/30 09:04:46	Plate Move - Imager to Stage	9094		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-6-MemGold 2-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/30 09:04:17	Plate Move - Storage to Stage	9095		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-7-PEGs I-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/30 08:59:39	Plate Inspection (Scheduled)	9094	86042	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Fayal	p28-6-MemGold 2-22-Nov-18-4C-[12]	fayal	Minor	4.9 minutes
2018/11/30 08:59:06	Plate Move - Imager to Stage	9093		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-5-MemGold-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/30 08:58:24	Plate Move - Storage to Stage	9094		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-6-MemGold 2-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/30 08:52:26	Plate Inspection (Scheduled)	9093	86040	96 Well Greiner Hanging, 1 Drop	Visible		Fayal	p28-5-MemGold-22-Nov-18-4C-[12]	fayal	Minor	6.5 minutes
2018/11/30 08:51:52	Plate Move - Storage to Stage	9093		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-5-MemGold-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/30 03:32:43	Plate Move - Imager to Stage	8980		96 Well Greiner Hanging, 1 Drop	Plate Movement		BM2Cyto	Silver Bullets	hkratochvil	DeGrado	0 minute
2018/11/30 03:25:24	Plate Inspection (Scheduled)	8980	86038	96 Well Greiner Hanging, 1 Drop	Visible		BM2Cyto	Silver Bullets	hkratochvil	DeGrado	7 minutes
2018/11/30 03:24:50	Plate Move - Storage to Stage	8980		96 Well Greiner Hanging, 1 Drop	Plate Movement		BM2Cyto	Silver Bullets	hkratochvil	DeGrado	0 minute
2018/11/29 13:07:40	Plate Move - Imager to Stage	8881		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-ComPas-4C	ethompson	Fraser	0 minute
2018/11/29 13:00:51	Plate Inspection (Scheduled)	8881	86011	96 Well MRC, 2 Drop	Ultraviolet	UV 500ms, UV 250ms	GS_WT-tagless	19-Oct-18-ComPas-4C	ethompson	Fraser	6.5 minutes
2018/11/29 13:00:18	Plate Move - Imager to Stage	8880		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-AmSO4-4C	ethompson	Fraser	0 minute
2018/11/29 12:57:01	Plate Move - Storage to Stage	8881		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-ComPas-4C	ethompson	Fraser	0 minute
2018/11/29 12:47:48	Plate Inspection (Scheduled)	8880	86008	96 Well MRC, 2 Drop	Ultraviolet	UV 500ms, UV 250ms	GS_WT-tagless	19-Oct-18-AmSO4-4C	ethompson	Fraser	12.3 minutes
2018/11/29 12:47:35	Plate Inspection (Scheduled)	8880	86008	96 Well MRC, 2 Drop	Visible		GS_WT-tagless	19-Oct-18-AmSO4-4C	ethompson	Fraser	0.2 minute
2018/11/29 12:47:02	Plate Move - Imager to Stage	8881		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-ComPas-4C	ethompson	Fraser	0 minute
2018/11/29 12:44:49	Plate Move - Storage to Stage	8880		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-AmSO4-4C	ethompson	Fraser	0 minute
2018/11/29 12:40:23	Plate Inspection (Scheduled)	8881	86007	96 Well MRC, 2 Drop	Ultraviolet	UV 500ms, UV 250ms	GS_WT-tagless	19-Oct-18-ComPas-4C	ethompson	Fraser	6.4 minutes
2018/11/29 12:39:49	Plate Move - Imager to Stage	8882		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-JCSG Core I-4C	ethompson	Fraser	0 minute
2018/11/29 12:37:36	Plate Move - Storage to Stage	8881		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-ComPas-4C	ethompson	Fraser	0 minute
2018/11/29 12:36:19	Plate Inspection (Scheduled)	8882	86005	96 Well MRC, 2 Drop	Ultraviolet	UV 500ms, UV 250ms	GS_WT-tagless	19-Oct-18-JCSG Core I-4C	ethompson	Fraser	3.2 minutes
2018/11/29 12:35:46	Plate Move - Imager to Stage	8883		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-JCSG Core II-4C	ethompson	Fraser	0 minute
2018/11/29 12:32:51	Plate Move - Storage to Stage	8882		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-JCSG Core I-4C	ethompson	Fraser	0 minute
2018/11/29 12:30:30	Plate Inspection (Scheduled)	8883	86003	96 Well MRC, 2 Drop	Ultraviolet	UV 500ms, UV 250ms	GS_WT-tagless	19-Oct-18-JCSG Core II-4C	ethompson	Fraser	5 minutes
2018/11/29 12:30:20	Plate Inspection (Scheduled)	8883	86003	96 Well MRC, 2 Drop	Visible		GS_WT-tagless	19-Oct-18-JCSG Core II-4C	ethompson	Fraser	0.2 minute
2018/11/29 12:29:47	Plate Move - Imager to Stage	8882		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-JCSG Core I-4C	ethompson	Fraser	0 minute
2018/11/29 12:27:32	Plate Move - Storage to Stage	8883		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-JCSG Core II-4C	ethompson	Fraser	0 minute
2018/11/29 12:26:15	Plate Inspection (Scheduled)	8882	86002	96 Well MRC, 2 Drop	Ultraviolet	UV 500ms, UV 250ms	GS_WT-tagless	19-Oct-18-JCSG Core I-4C	ethompson	Fraser	3.3 minutes
2018/11/29 12:25:42	Plate Move - Imager to Stage	8883		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-JCSG Core II-4C	ethompson	Fraser	0 minute
2018/11/29 12:22:47	Plate Move - Storage to Stage	8882		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-JCSG Core I-4C	ethompson	Fraser	0 minute
2018/11/29 12:20:23	Plate Inspection (Scheduled)	8883	86001	96 Well MRC, 2 Drop	Ultraviolet	UV 500ms, UV 250ms	GS_WT-tagless	19-Oct-18-JCSG Core II-4C	ethompson	Fraser	5.1 minutes
2018/11/29 12:20:12	Plate Inspection (Scheduled)	8883	86001	96 Well MRC, 2 Drop	Visible		GS_WT-tagless	19-Oct-18-JCSG Core II-4C	ethompson	Fraser	0.2 minute
2018/11/29 12:19:40	Plate Move - Imager to Stage	8884		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-JCSG Core III-4C	ethompson	Fraser	0 minute
2018/11/29 12:17:13	Plate Move - Storage to Stage	8883		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-JCSG Core II-4C	ethompson	Fraser	0 minute
2018/11/29 12:12:57	Plate Inspection (Scheduled)	8884	86000	96 Well MRC, 2 Drop	Ultraviolet	UV 500ms, UV 250ms	GS_WT-tagless	19-Oct-18-JCSG Core III-4C	ethompson	Fraser	6.4 minutes
2018/11/29 12:12:24	Plate Move - Imager to Stage	8885		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-JCSG Core IV-4C	ethompson	Fraser	0 minute
2018/11/29 12:08:01	Plate Move - Storage to Stage	8884		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-JCSG Core III-4C	ethompson	Fraser	0 minute
2018/11/29 11:58:36	Plate Inspection (Scheduled)	8885	85999	96 Well MRC, 2 Drop	Ultraviolet	UV 500ms, UV 250ms	GS_WT-tagless	19-Oct-18-JCSG Core IV-4C	ethompson	Fraser	13.6 minutes
2018/11/29 11:58:23	Plate Inspection (Scheduled)	8885	85999	96 Well MRC, 2 Drop	Visible		GS_WT-tagless	19-Oct-18-JCSG Core IV-4C	ethompson	Fraser	0.2 minute
2018/11/29 11:57:49	Plate Move - Imager to Stage	8884		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-JCSG Core III-4C	ethompson	Fraser	0 minute
2018/11/29 11:55:24	Plate Move - Storage to Stage	8885		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-JCSG Core IV-4C	ethompson	Fraser	0 minute
2018/11/29 11:51:07	Plate Inspection (Scheduled)	8884	85998	96 Well MRC, 2 Drop	Ultraviolet	UV 500ms, UV 250ms	GS_WT-tagless	19-Oct-18-JCSG Core III-4C	ethompson	Fraser	6.4 minutes
2018/11/29 11:50:34	Plate Move - Imager to Stage	8885		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-JCSG Core IV-4C	ethompson	Fraser	0 minute
2018/11/29 11:46:38	Plate Move - Storage to Stage	8884		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-JCSG Core III-4C	ethompson	Fraser	0 minute
2018/11/29 11:36:56	Plate Inspection (Scheduled)	8885	85997	96 Well MRC, 2 Drop	Ultraviolet	UV 500ms, UV 250ms	GS_WT-tagless	19-Oct-18-JCSG Core IV-4C	ethompson	Fraser	13.4 minutes
2018/11/29 11:36:42	Plate Inspection (Scheduled)	8885	85997	96 Well MRC, 2 Drop	Visible		GS_WT-tagless	19-Oct-18-JCSG Core IV-4C	ethompson	Fraser	0.2 minute
2018/11/29 11:36:08	Plate Move - Imager to Stage	8880		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-AmSO4-4C	ethompson	Fraser	0 minute
2018/11/29 11:32:50	Plate Move - Storage to Stage	8885		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-JCSG Core IV-4C	ethompson	Fraser	0 minute
2018/11/29 11:23:41	Plate Inspection (Scheduled)	8880	85996	96 Well MRC, 2 Drop	Ultraviolet	UV 500ms, UV 250ms	GS_WT-tagless	19-Oct-18-AmSO4-4C	ethompson	Fraser	12.2 minutes
2018/11/29 11:23:25	Plate Inspection (Scheduled)	8880	85996	96 Well MRC, 2 Drop	Visible		GS_WT-tagless	19-Oct-18-AmSO4-4C	ethompson	Fraser	0.3 minute
2018/11/29 11:22:52	Plate Move - Storage to Stage	8880		96 Well MRC, 2 Drop	Plate Movement		GS_WT-tagless	19-Oct-18-AmSO4-4C	ethompson	Fraser	0 minute
2018/11/29 09:23:52	Plate Move - Imager to Stage	9092		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-4-MPD Suite-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/29 09:18:10	Plate Inspection (Scheduled)	9092	85989	96 Well Greiner Hanging, 1 Drop	Visible		Fayal	p28-4-MPD Suite-22-Nov-18-4C-[12]	fayal	Minor	5.4 minutes
2018/11/29 09:17:37	Plate Move - Imager to Stage	9096		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-8-PEGs II-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/29 09:17:06	Plate Move - Storage to Stage	9092		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-4-MPD Suite-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/29 09:11:43	Plate Inspection (Scheduled)	9096	85987	96 Well Greiner Hanging, 1 Drop	Visible		Fayal	p28-8-PEGs II-22-Nov-18-4C-[12]	fayal	Minor	5.7 minutes
2018/11/29 09:11:09	Plate Move - Imager to Stage	9095		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-7-PEGs I-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/29 09:10:42	Plate Move - Storage to Stage	9096		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-8-PEGs II-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/29 09:05:27	Plate Inspection (Scheduled)	9095	85984	96 Well Greiner Hanging, 1 Drop	Visible		Fayal	p28-7-PEGs I-22-Nov-18-4C-[12]	fayal	Minor	5.5 minutes
2018/11/29 09:04:54	Plate Move - Imager to Stage	9094		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-6-MemGold 2-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/29 09:04:26	Plate Move - Storage to Stage	9095		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-7-PEGs I-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/29 08:59:47	Plate Inspection (Scheduled)	9094	85982	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Fayal	p28-6-MemGold 2-22-Nov-18-4C-[12]	fayal	Minor	4.9 minutes
2018/11/29 08:59:14	Plate Move - Imager to Stage	9093		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-5-MemGold-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/29 08:58:33	Plate Move - Storage to Stage	9094		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-6-MemGold 2-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/29 08:52:25	Plate Inspection (Scheduled)	9093	85978	96 Well Greiner Hanging, 1 Drop	Visible		Fayal	p28-5-MemGold-22-Nov-18-4C-[12]	fayal	Minor	6.6 minutes
2018/11/29 08:51:51	Plate Move - Storage to Stage	9093		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-5-MemGold-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/29 04:11:42	Plate Move - Imager to Stage	9015		96 Well NUNC Hanging 3 Drop	Plate Movement		PhoQ Ca N389A K392A 4C	Classic HTS2	brukmensa	DeGrado	0 minute
2018/11/29 03:50:39	Plate Inspection (Scheduled)	9015	85947	96 Well NUNC Hanging 3 Drop	Visible		PhoQ Ca N389A K392A 4C	Classic HTS2	brukmensa	DeGrado	20.8 minutes
2018/11/29 03:50:05	Plate Move - Imager to Stage	9014		96 Well NUNC Hanging 3 Drop	Plate Movement		PhoQ Ca N389A K392A 4C	Classic HTS1	brukmensa	DeGrado	0 minute
2018/11/29 03:49:30	Plate Move - Storage to Stage	9015		96 Well NUNC Hanging 3 Drop	Plate Movement		PhoQ Ca N389A K392A 4C	Classic HTS2	brukmensa	DeGrado	0 minute
2018/11/29 03:29:14	Plate Inspection (Scheduled)	9014	85944	96 Well NUNC Hanging 3 Drop	Visible		PhoQ Ca N389A K392A 4C	Classic HTS1	brukmensa	DeGrado	20.7 minutes
2018/11/29 03:28:40	Plate Move - Imager to Stage	9013		96 Well NUNC Hanging 3 Drop	Plate Movement		PhoQ Ca N389A K392A 4C	Kinase HTS	brukmensa	DeGrado	0 minute
2018/11/29 03:28:05	Plate Move - Storage to Stage	9014		96 Well NUNC Hanging 3 Drop	Plate Movement		PhoQ Ca N389A K392A 4C	Classic HTS1	brukmensa	DeGrado	0 minute
2018/11/29 03:09:04	Plate Inspection (Scheduled)	9013	85941	96 Well NUNC Hanging 3 Drop	Visible		PhoQ Ca N389A K392A 4C	Kinase HTS	brukmensa	DeGrado	19.4 minutes
2018/11/29 03:08:30	Plate Move - Storage to Stage	9013		96 Well NUNC Hanging 3 Drop	Plate Movement		PhoQ Ca N389A K392A 4C	Kinase HTS	brukmensa	DeGrado	0 minute
2018/11/28 09:24:32	Plate Move - Imager to Stage	9092		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-4-MPD Suite-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/28 09:18:34	Plate Inspection (Scheduled)	9092	85858	96 Well Greiner Hanging, 1 Drop	Visible		Fayal	p28-4-MPD Suite-22-Nov-18-4C-[12]	fayal	Minor	5.7 minutes
2018/11/28 09:18:00	Plate Move - Imager to Stage	9096		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-8-PEGs II-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/28 09:17:27	Plate Move - Storage to Stage	9092		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-4-MPD Suite-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/28 09:11:54	Plate Inspection (Scheduled)	9096	85857	96 Well Greiner Hanging, 1 Drop	Visible		Fayal	p28-8-PEGs II-22-Nov-18-4C-[12]	fayal	Minor	5.9 minutes
2018/11/28 09:11:21	Plate Move - Imager to Stage	9095		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-7-PEGs I-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/28 09:10:52	Plate Move - Storage to Stage	9096		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-8-PEGs II-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/28 09:05:33	Plate Inspection (Scheduled)	9095	85856	96 Well Greiner Hanging, 1 Drop	Visible		Fayal	p28-7-PEGs I-22-Nov-18-4C-[12]	fayal	Minor	5.6 minutes
2018/11/28 09:05:00	Plate Move - Imager to Stage	9094		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-6-MemGold 2-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/28 09:04:32	Plate Move - Storage to Stage	9095		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-7-PEGs I-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/28 08:59:41	Plate Inspection (Scheduled)	9094	85855	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Fayal	p28-6-MemGold 2-22-Nov-18-4C-[12]	fayal	Minor	5.1 minutes
2018/11/28 08:59:07	Plate Move - Imager to Stage	9093		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-5-MemGold-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/28 08:58:23	Plate Move - Storage to Stage	9094		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-6-MemGold 2-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/28 08:52:19	Plate Inspection (Scheduled)	9093	85854	96 Well Greiner Hanging, 1 Drop	Visible		Fayal	p28-5-MemGold-22-Nov-18-4C-[12]	fayal	Minor	6.6 minutes
2018/11/28 08:51:44	Plate Move - Storage to Stage	9093		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p28-5-MemGold-22-Nov-18-4C-[12]	fayal	Minor	0 minute
2018/11/28 05:32:14	Plate Move - Imager to Stage	9011		96 Well Greiner Hanging, 3 Drop	Plate Movement		LSL(Aib)	2c8e4-0.5og-MemGold 2	mravic	DeGrado	0 minute
2018/11/28 05:18:37	Plate Inspection (Scheduled)	9011	85853	96 Well Greiner Hanging, 3 Drop	Visible		LSL(Aib)	2c8e4-0.5og-MemGold 2	mravic	DeGrado	13.4 minutes
2018/11/28 05:18:03	Plate Move - Imager to Stage	9006		96 Well Greiner Hanging, 1 Drop	Plate Movement		eTgL	22c8e4-5-MemGold 2	mravic	DeGrado	0 minute
2018/11/28 05:17:48	Plate Move - Storage to Stage	9011		96 Well Greiner Hanging, 3 Drop	Plate Movement		LSL(Aib)	2c8e4-0.5og-MemGold 2	mravic	DeGrado	0 minute
2018/11/28 05:16:59	Plate Move - Storage to Stage	9006		96 Well Greiner Hanging, 1 Drop	Plate Movement		eTgL	22c8e4-5-MemGold 2	mravic	DeGrado	0 minute
2018/11/28 03:49:38	Plate Move - Imager to Stage	8967		96 Well NUNC Hanging 3 Drop	Plate Movement		PhoQ Ca N389A K392A 4C	PEG Ion Screen HT	brukmensa	DeGrado	0 minute
2018/11/28 03:42:19	Plate Inspection (Scheduled)	8967	85840	96 Well NUNC Hanging 3 Drop	Ultraviolet	UV 1000ms (default)	PhoQ Ca N389A K392A 4C	PEG Ion Screen HT	brukmensa	DeGrado	7 minutes
2018/11/28 03:29:13	Plate Inspection (Scheduled)	8967	85840	96 Well NUNC Hanging 3 Drop	Visible	Visible (Default), Cross Polarized	PhoQ Ca N389A K392A 4C	PEG Ion Screen HT	brukmensa	DeGrado	13.1 minutes
2018/11/28 03:28:40	Plate Move - Imager to Stage	8965		96 Well NUNC Hanging 3 Drop	Plate Movement		PhoQ Ca N389A K392A 4C	Crystal Screen HT	brukmensa	DeGrado	0 minute
2018/11/28 03:28:21	Plate Move - Storage to Stage	8967		96 Well NUNC Hanging 3 Drop	Plate Movement		PhoQ Ca N389A K392A 4C	PEG Ion Screen HT	brukmensa	DeGrado	0 minute
2018/11/28 03:23:29	Plate Inspection (Scheduled)	8965	85838	96 Well NUNC Hanging 3 Drop	Ultraviolet	UV 1000ms (default)	PhoQ Ca N389A K392A 4C	Crystal Screen HT	brukmensa	DeGrado	4.9 minutes
2018/11/28 03:11:07	Plate Inspection (Scheduled)	8965	85838	96 Well NUNC Hanging 3 Drop	Visible	Visible (Default), Cross Polarized	PhoQ Ca N389A K392A 4C	Crystal Screen HT	brukmensa	DeGrado	12.4 minutes
2018/11/28 03:10:33	Plate Move - Imager to Stage	8966		96 Well NUNC Hanging 3 Drop	Plate Movement		PhoQ Ca N389A K392A 4C	Index Screen HT	brukmensa	DeGrado	0 minute
2018/11/28 03:10:16	Plate Move - Storage to Stage	8965		96 Well NUNC Hanging 3 Drop	Plate Movement		PhoQ Ca N389A K392A 4C	Crystal Screen HT	brukmensa	DeGrado	0 minute
2018/11/28 03:06:29	Plate Inspection (Scheduled)	8966	85835	96 Well NUNC Hanging 3 Drop	Ultraviolet	UV 1000ms (default)	PhoQ Ca N389A K392A 4C	Index Screen HT	brukmensa	DeGrado	3.5 minutes
2018/11/28 02:55:45	Plate Inspection (Scheduled)	8966	85835	96 Well NUNC Hanging 3 Drop	Visible	Visible (Default), Cross Polarized	PhoQ Ca N389A K392A 4C	Index Screen HT	brukmensa	DeGrado	10.7 minutes
2018/11/28 02:55:11	Plate Move - Imager to Stage	8968		96 Well NUNC Hanging 3 Drop	Plate Movement		PhoQ Ca N389A K392A 4C	Wizard I&II	brukmensa	DeGrado	0 minute
2018/11/28 02:54:57	Plate Move - Storage to Stage	8966		96 Well NUNC Hanging 3 Drop	Plate Movement		PhoQ Ca N389A K392A 4C	Index Screen HT	brukmensa	DeGrado	0 minute
2018/11/28 02:51:58	Plate Inspection (Scheduled)	8968	85833	96 Well NUNC Hanging 3 Drop	Ultraviolet	UV 1000ms (default)	PhoQ Ca N389A K392A 4C	Wizard I&II	brukmensa	DeGrado	2.8 minutes
